name,province_ID,poor.household.CNT,poor.JPT.CNT,poor.JPT.MOFreg.CNT,poor.JPT.MOFval.CNT,poor.JPT.MOFval.health,poor.JPT.MOFval.living,poor.JPT.MOFval.education,poor.JPT.MOFval.income,poor.JPT.MOFval.accessibility,JPT.MOFval.pov.rate,poor.JPT.MOFval.ind1.CNT,poor.JPT.MOFval.ind2.CNT,poor.JPT.MOFval.ind3.CNT,poor.JPT.MOFval.ind4.CNT,poor.JPT.MOFval.ind5.CNT,poor.JPT.MOFval.ind6.CNT,poor.JPT.MOFval.ind7.CNT,poor.JPT.MOFval.ind8.CNT,poor.JPT.MOFval.ind9.CNT,poor.JPT.MOFval.ind10.CNT,poor.JPT.MOFval.ind11.CNT,poor.JPT.MOFval.ind12.CNT,poor.JPT.MOFval.ind13.CNT,poor.JPT.MOFval.ind14.CNT,poor.JPT.MOFval.ind15.CNT,poor.JPT.MOFval.ind16.CNT,poor.JPT.MOFval.ind17.CNT,poor.JPT.MOFval.ind18.CNT,poor.JPT.MOFval.ind19.CNT,poor.JPT.MOFval.ind20.CNT,poor.JPT.MOFval.ind21.CNT,poor.JPT.MOFval.ind22.CNT,poor.JPT.MOFval.ind23.CNT,poor.JPT.MOFval.ind24.CNT,poor.JPT.MOFval.ind25.CNT,poor.JPT.MOFval.ind26.CNT,poor.JPT.MOFval.ind27.CNT,poor.JPT.MOFval.ind28.CNT,poor.JPT.MOFval.ind29.CNT,poor.JPT.MOFval.ind30.CNT,poor.JPT.MOFval.ind31.CNT
,42,"4,815","16,371","7,877","7,342","3,094","1,198",905,"2,811",35,1.651941,5,11,4,"2,090",317,53,799,99,58,104,"1,014",61,95,33,0,406,15,0,497,670,"1,940",557,"1,464","2,194","2,419",120,16,19,0,23,70
,12,"5,060","16,578","2,738","2,775",580,307,53,"2,132",12,0.865818,0,0,0,66,98,226,455,25,0,0,295,100,80,0,0,11,1,1,41,495,"1,789",43,825,445,707,140,8,4,0,92,70
,15,"5,030","17,748","4,624","5,201",421,421,"1,235","3,598",11,2.634005,0,0,0,78,62,386,313,31,0,4,401,68,67,4,1,"1,111",8,2,120,751,"2,333",906,820,977,"1,221",127,4,7,0,58,68
,51,"5,680","18,009","6,486","7,403","1,863","2,247","3,804","2,177",18,2.390355,7,0,0,"1,377",773,324,185,22,49,33,"2,218",0,513,3,0,204,0,0,"3,600",384,"1,590",281,192,"3,014","3,221",6,0,18,0,0,15
,13,"6,438","19,815","3,569","3,438",748,280,138,"2,724",3,0.785568,0,0,0,391,346,523,238,3,2,8,268,20,81,8,0,119,0,14,19,569,"2,120",317,794,474,572,55,0,3,0,37,19
,44,"5,339","20,127","6,778","6,660","1,000",608,"1,755","3,505",133,0.926089,5,3,0,487,131,279,403,67,7,12,533,8,50,2,0,"1,209",41,0,510,646,"1,382","1,718",430,"2,237","2,316",127,111,22,0,16,173
,53,"7,032","20,749","8,934","7,797","1,024",612,"1,465","5,244",6,2.651130,36,15,0,164,366,354,539,48,5,132,574,54,102,3,1,"1,048",11,0,412,"1,154","4,297",172,362,"2,669","2,376",181,3,3,0,20,22
,73,"5,538","20,981","3,218","3,722","1,256","1,199",135,"1,933",1,0.745369,0,0,0,813,348,482,262,22,0,1,"1,176",112,303,2,1,63,15,0,56,273,"1,729",25,667,851,"1,000",133,0,1,0,33,12
,14,"6,058","23,750","5,446","5,707",220,215,"1,522","3,914",1,1.131320,0,0,0,6,37,143,177,7,5,0,206,134,29,4,0,"1,500",3,0,22,"1,007","3,267",2,530,662,807,64,0,1,0,72,53
,25,"6,576","25,033","5,384","5,025",546,"1,008","2,241","1,511",0,1.522206,0,0,0,163,83,860,322,9,0,13,989,10,52,4,0,"2,189",1,2,54,539,"1,098",7,368,"1,277","1,219",92,0,0,0,64,23
,27,"6,865","25,227","5,875","6,511","1,094","1,617","2,666","1,930",30,1.906376,0,9,0,472,378,241,289,56,15,56,"1,515",119,195,9,11,"2,433",6,0,228,803,"1,310",4,"1,403","1,718","1,645",100,1,29,0,18,25
,76,"7,099","25,552","5,612","5,341",805,816,34,"4,204",10,1.730058,2,0,0,324,357,"3,062",244,95,2,149,594,32,271,1,0,12,0,2,22,457,"3,838",106,17,"1,454","1,886",67,0,10,0,53,55
,66,"9,045","26,294","9,827","9,762","1,411",727,"1,570","6,933",11,3.066388,0,2,0,204,534,"1,282",785,124,3,4,625,68,218,5,0,857,16,0,714,"1,109","5,470",761,674,"2,323","2,695",133,1,10,0,52,48
,70,"7,458","28,625","5,654","6,266",619,884,"1,237","4,038",4,1.224663,0,0,0,43,49,218,542,59,0,0,840,38,125,0,0,"1,087",0,0,157,658,"3,519",55,643,"1,347","1,655",171,0,4,0,30,62
,45,"7,120","29,953","10,213","10,095",522,573,"5,713","3,618",71,1.108123,1,0,0,229,86,149,214,135,87,104,349,311,46,6,0,"5,384",35,0,304,845,"1,647","1,299",612,"2,075","2,281",260,0,71,0,132,44
,86,"9,488","30,367","4,175","4,064","1,644","1,117",831,"1,149",3,1.439481,0,5,0,"1,137",370,"1,757",219,403,70,99,782,124,237,0,0,763,5,0,63,412,841,29,880,996,"1,487",204,0,3,0,55,106
,62,"9,344","30,715","9,844","11,404","2,605","2,922","2,917","4,729",41,2.529557,0,3,0,870,"1,616","2,476",504,97,634,774,"2,176",522,406,9,1,"1,666",20,5,"1,256",894,"3,635",467,898,"4,127","4,468",349,12,29,0,92,81
,77,"9,982","31,070","5,747","5,592","1,012","1,400",846,"3,387",13,1.859766,5,13,0,100,223,666,720,272,63,50,"1,219",121,346,31,14,272,32,63,552,"1,256","2,301",159,"1,490",974,"1,503",206,9,4,1,126,191
,71,"8,820","32,196","7,134","8,146","1,464","1,323","2,229","3,947",13,1.682808,5,0,0,193,593,510,766,127,37,34,"1,196",165,349,9,0,"1,660",9,0,584,869,"3,206",66,739,"1,859","2,461",118,0,13,0,18,39
,22,"9,415","33,347","4,819","5,574","1,265","1,045","2,380","1,949",16,1.981064,3,4,0,265,447,449,667,89,37,60,948,118,265,25,3,"2,089",5,0,297,513,"1,248",400,"1,644","1,699","1,666",352,4,12,0,212,113
,20,"9,786","35,412","5,468","5,764",756,185,"2,311","2,952",2,0.993221,0,0,0,71,172,136,524,47,29,29,125,98,63,7,5,"2,052",12,1,258,590,"2,508",2,867,984,"1,001",101,1,1,0,111,70
,19,"10,353","37,488","7,078","7,826","1,448",754,"2,031","4,611",20,1.963692,0,1,0,380,563,673,847,83,55,18,635,532,362,8,0,"1,773",6,0,258,"1,212","3,750",69,"1,569","1,955","1,784",311,11,9,0,134,125
,46,"8,646","37,650","13,218","12,916","1,328",948,"8,630","2,736",66,1.818149,3,0,0,504,214,437,703,356,7,11,597,217,177,6,1,"8,223",20,0,402,691,889,"1,372","1,025","2,793","3,442",75,5,61,0,1,35
